City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,badger,64.8,-147.5333,-7.86,88,75,1.54,US,1730744741
83,sao tome,0.3365,6.7273,25.81,87,99,2.52,ST,1730744742
84,urangan,-25.3,152.9,23.1,70,7,3.91,AU,1730744743
85,bozkurt,41.9577,34.0109,8.87,67,40,4.74,TR,1730744744
86,olyokminsk,60.3736,120.4264,-20.62,100,89,0.61,RU,1730744745
87,arraial do cabo,-22.9661,-42.0278,25.92,78,75,10.29,BR,1730744746
88,praia da vitoria,38.7333,-27.0667,21.14,83,40,8.72,PT,1730744748
89,aiquile,-18.2041,-65.1807,28.39,31,14,6.74,BO,1730744750
90,seguin,29.5688,-97.9647,30.24,65,100,8.23,US,1730744751
91,yellowknife,62.456,-114.3525,-2.55,99,75,1.54,CA,1730744474
92,port alfred,-33.5906,26.891,12.32,96,100,1.34,ZA,1730744753
93,rioblanco,3.5308,-75.6806,20.9,65,100,2.52,CO,1730744754
94,lebu,-37.6167,-73.65,13.85,66,100,4.03,CL,1730744755
95,georgetown,5.4112,100.3354,26.96,83,20,2.06,MY,1730744756
96,ayutinskiy,47.77,40.14,2.4,74,85,9.48,RU,1730744757
97,macau,22.2006,113.5461,24.85,73,40,5.14,MO,1730744759
98,invercargill,-46.4,168.35,11.68,94,93,2.24,NZ,1730744760
99,nizhnyaya omka,55.4338,74.9426,-0.62,64,4,7.33,RU,1730744762
100,howard springs,-12.497,131.047,25.95,90,100,1.39,AU,1730744763
101,hawaiian paradise park,19.5933,-154.9731,22.73,100,100,2.57,US,1730744764
102,dolores,-36.3132,-57.6792,16.2,88,100,4.26,AR,1730744765
103,vila velha,-20.3297,-40.2925,25.97,88,75,5.66,BR,1730744766
104,labrador city,52.9463,-66.9114,-1.57,69,100,3.6,CA,1730744767
105,kavaratti,10.5669,72.642,28.53,69,62,2.15,IN,1730744768
106,regeneracao,-6.2378,-42.6883,40.6,18,80,2.74,BR,1730744769
107,orkney,-26.9802,26.6727,25.81,25,98,6.54,ZA,1730744770
108,newman,37.3138,-121.0208,17.8,39,0,4.02,US,1730744771
109,kingston,17.997,-76.7936,29.53,74,40,6.69,JM,1730744772
110,antalaha,-14.9003,50.2788,23.62,92,56,3.29,MG,1730744774
111,colonia,50.9333,6.95,10.63,80,0,1.03,DE,1730744775
112,as sulayyil,20.4607,45.5779,25.35,25,0,3.76,SA,1730744776
113,slave lake,55.2834,-114.769,1.99,64,0,1.54,CA,1730744777
114,sungailiat,-1.85,106.1333,25.37,90,98,2.61,ID,1730744778
115,geraldton,-28.7667,114.6,18.23,55,75,5.66,AU,1730744779
116,sarikei,2.1167,111.5167,23.08,99,100,0.64,MY,1730744780
117,flying fish cove,-10.4217,105.6791,25.82,100,100,3.6,CX,1730744781
118,jursinci,46.4847,15.9714,8.09,63,4,0.96,SI,1730744782
119,greymouth,-42.4667,171.2,9.06,97,100,3.28,NZ,1730744783
120,bejaia,36.7559,5.0843,19.6,73,0,2.06,DZ,1730744785
121,birobidzhan,48.8,132.95,-2.2,63,99,1.02,RU,1730744786
122,saldanha,-33.0117,17.9442,13.03,62,2,12.25,ZA,1730744787
123,dunedin,-45.8742,170.5036,11.56,98,100,1.54,NZ,1730744788
124,mangrol,21.1167,70.1167,27.89,64,0,2.03,IN,1730744789
125,floro,61.5996,5.0328,8.98,100,75,3.6,NO,1730744790
126,haiku-pauwela,20.9219,-156.3051,25.12,87,40,8.49,US,1730744792
